date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:29:59	9362/9362	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Apr%202022%2020:25:49%20GMT	https://themeknit.com/demo/html/authfy/demo/login-07.html	F:/login/themeknit.com/demo/html/authfy/demo/login-07.html	(from )
12:30:00	113/113	---MCZ	200	added ('OK')	text/plain	etag:%22255-1756809340;gz%22	https://themeknit.com/robots.txt		(from )
12:30:01	157850/157850	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Sep%202025%2006:30:00%20GMT	https://themeknit.com/demo/html/authfy/demo/images/favicon-16x16.png	F:/login/themeknit.com/demo/html/authfy/demo/images/favicon-16x16.png	(from https://themeknit.com/demo/html/authfy/demo/login-07.html)
12:30:01	8194/8194	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:48%20GMT	https://themeknit.com/demo/html/authfy/demo/css/login7-style.css	F:/login/themeknit.com/demo/html/authfy/demo/css/login7-style.css	(from https://themeknit.com/demo/html/authfy/demo/login-07.html)
12:30:01	7318/7318	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Apr%202022%2020:35:04%20GMT	https://themeknit.com/demo/html/authfy/demo/images/brand-logo-white.png	F:/login/themeknit.com/demo/html/authfy/demo/images/brand-logo-white.png	(from https://themeknit.com/demo/html/authfy/demo/login-07.html)
12:30:02	85578/85578	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2019%20Apr%202022%2020:35:14%20GMT	https://themeknit.com/demo/html/authfy/demo/js/jquery-2.2.4.min.js	F:/login/themeknit.com/demo/html/authfy/demo/js/jquery-2.2.4.min.js	(from https://themeknit.com/demo/html/authfy/demo/login-07.html)
12:30:03	671/671	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2019%20Apr%202022%2020:35:16%20GMT	https://themeknit.com/demo/html/authfy/demo/js/custom.js	F:/login/themeknit.com/demo/html/authfy/demo/js/custom.js	(from https://themeknit.com/demo/html/authfy/demo/login-07.html)
12:30:03	37045/37045	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2019%20Apr%202022%2020:35:19%20GMT	https://themeknit.com/demo/html/authfy/demo/js/bootstrap.min.js	F:/login/themeknit.com/demo/html/authfy/demo/js/bootstrap.min.js	(from https://themeknit.com/demo/html/authfy/demo/login-07.html)
12:30:04	121200/121200	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:42%20GMT	https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css	F:/login/themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css	(from https://themeknit.com/demo/html/authfy/demo/css/login7-style.css)
12:30:04	21984/21984	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:46%20GMT	https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css	F:/login/themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css	(from https://themeknit.com/demo/html/authfy/demo/css/login7-style.css)
12:30:04	336/336	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:46%20GMT	https://themeknit.com/demo/html/authfy/demo/css/preloader.css	F:/login/themeknit.com/demo/html/authfy/demo/css/preloader.css	(from https://themeknit.com/demo/html/authfy/demo/css/login7-style.css)
12:30:05	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Apr%202022%2020:35:31%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.eot	F:/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.eot	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
12:30:06	85624/85624	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Apr%202022%2020:35:03%20GMT	https://themeknit.com/demo/html/authfy/demo/images/computer-1867758_1920-min.jpg	F:/login/themeknit.com/demo/html/authfy/demo/images/computer-1867758_1920-min.jpg	(from https://themeknit.com/demo/html/authfy/demo/css/login7-style.css)
12:30:06	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Apr%202022%2020:35:31%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.eot?	F:/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regulard41d.eot	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
12:30:11	157850/157850	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Sep%202025%2006:30:11%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.woff2	F:/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.woff2	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
12:30:13	23320/23320	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20Apr%202022%2020:35:28%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.woff	F:/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.woff	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
12:30:14	41280/41280	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20Apr%202022%2020:35:33%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.ttf	F:/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.ttf	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
12:30:14	62926/62926	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Apr%202022%2020:35:44%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.svg	F:/login/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.svg	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
12:30:15	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Apr%202022%2020:35:46%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.eot?v=4.2.0	F:/login/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont78ce.eot	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
12:30:15	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Apr%202022%2020:35:46%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.eot?	F:/login/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfontd41d.eot	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
12:30:16	65452/65452	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20Apr%202022%2020:35:42%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.woff?v=4.2.0	F:/login/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont78ce.woff	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
12:30:16	287007/287007	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Apr%202022%2020:35:38%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.svg?v=4.2.0	F:/login/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont78ce.svg	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
12:30:16	112160/112160	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20Apr%202022%2020:35:43%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.ttf?v=4.2.0	F:/login/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont78ce.ttf	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
12:30:17	13999/13999	---M--	200	added ('OK')	image/gif	date:Tue,%2019%20Apr%202022%2020:34:54%20GMT	https://themeknit.com/demo/html/authfy/demo/images/preloader.gif	F:/login/themeknit.com/demo/html/authfy/demo/images/preloader.gif	(from https://themeknit.com/demo/html/authfy/demo/css/preloader.css)
